breakdown_type,group_value,bets,wins,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge,combo_label,weight_market_sanity,weight_steam,base_roi,base_strike_rate,base_bets,base_total_profit,delta_roi,delta_strike_rate,delta_bets,delta_total_profit
price_band,9-12,141,14,141.0,0.0,0.0,0.09929078014184398,9.946808510638299,0.09102587908183483,mkt=0.030|steam=0.040,0.03,0.04,0.4520547945205479,0.14383561643835616,146,66.0,-0.4520547945205479,-0.04454483629651218,-5,-66.0
price_band,3-6,45,5,45.0,-21.5,-0.4777777777777778,0.1111111111111111,4.911111111111111,0.08190904338202142,mkt=0.030|steam=0.040,0.03,0.04,-0.5392857142857143,0.10714285714285714,56,-30.2,0.061507936507936456,0.003968253968253968,-11,8.7
price_band,9-12,132,17,132.0,38.5,0.2916666666666667,0.12878787878787878,9.875,0.09092164368484044,mkt=0.030|steam=0.060,0.03,0.06,0.4520547945205479,0.14383561643835616,146,66.0,-0.16038812785388123,-0.015047737650477372,-14,-27.5
price_band,12-20,120,11,120.0,17.0,0.14166666666666666,0.09166666666666666,13.133333333333333,0.09716438891918995,mkt=0.030|steam=0.060,0.03,0.06,0.04838709677419355,0.08064516129032258,124,6.0,0.09327956989247312,0.011021505376344082,-4,11.0
price_band,<3,1,1,1.0,1.9,1.9,1.0,2.9,0.08941784291753513,mkt=0.030|steam=0.060,0.03,0.06,1.9,1.0,1,1.9,0.0,0.0,0,0.0
price_band,3-6,44,6,44.0,-18.2,-0.41363636363636364,0.13636363636363635,4.879545454545454,0.08184101027112196,mkt=0.030|steam=0.060,0.03,0.06,-0.5392857142857143,0.10714285714285714,56,-30.2,0.12564935064935062,0.029220779220779217,-12,12.0
price_band,6-9,224,26,224.0,-35.0,-0.15625,0.11607142857142858,7.299107142857143,0.07995600591520116,mkt=0.030|steam=0.060,0.03,0.06,0.07709251101321586,0.14537444933920704,227,17.5,-0.23334251101321585,-0.029303020767778465,-3,-52.5
price_band,9-12,138,16,138.0,24.5,0.17753623188405798,0.11594202898550725,9.93840579710145,0.08815506613000285,mkt=0.030|steam=0.080,0.03,0.08,0.4520547945205479,0.14383561643835616,146,66.0,-0.27451856263648994,-0.02789358745284891,-8,-41.5
price_band,12-20,108,9,108.0,7.0,0.06481481481481481,0.08333333333333333,13.203703703703704,0.10113015787732017,mkt=0.030|steam=0.080,0.03,0.08,0.04838709677419355,0.08064516129032258,124,6.0,0.016427718040621264,0.0026881720430107503,-16,1.0
price_band,<3,2,1,2.0,0.8999999999999999,0.44999999999999996,0.5,2.8,0.0906700962420933,mkt=0.030|steam=0.080,0.03,0.08,1.9,1.0,1,1.9,-1.45,-0.5,1,-1.0
